Ranking,Pontos,Nome,Clube,Rating,Categoria
39,929,JOCEANE DALABONA,ASSOCIAÇÃO TIMBOENSE - SC,E,F
40,927,TATIANE GUEDES,MADUREIRA ESPORTE CLUBE - RJ,E,F
41,919,NATALY RIBEIRO,ASSOCIAÇÃO DE TENIS DE MESA DE POUSO REDONDO-SC,E,F
42,916,JACQUELINE MAKI,ITAIM KEIKO / JJYAMADA - SP,E,F
43,914,LARISSA RIBERTI,PING TABLE TENNIS AERO CLUBE-RN,E,F
44,911,MARIA CLARA VASCONCELOS,ASSOCIAÇÃO CARUARUENSE/IBRA/PMC- PE,E,F
45,910,CHENJING XU,SOC .ESP. RECREATIVA E CULT. SANTA MARIA - SP,E,F
46,908,EMIKO TAKATATSU,ACEAS NIKKEI SUZANO - SP,E,F
47,906,EDNA OTSUKI,ASSOCIAÇÃO MARINGAENSE DE TÊNIS DE MESA-AMTM - PR,E,F
47,906,CAROLINE TANAKA,BOLA RÁPIDA - MS,E,F
49,905,CAROLINE SANTOS,ASSOCIAÇAO DOS MESATENISTAS DE TAUBATÉ - SP,E,F
50,904,DANIELA SILVA,FUNDAÇÃO MUNICIPAL DE ESPORTES DE CONCÓRDIA-SC,E,F
51,902,THAIS MATSUMOTO,JUNDIAÍ CLUBE-SP,E,F
52,894,PAULA FONSECA,CLUBE CONCÓRDIA - SC,E,F
53,893,ALINE RAMOS,ASSOCIAÇÃO RIO DO SUL - SC,E,F
54,891,GLENDA SHIGUEFUZI,JUNDIAÍ CLUBE-SP,E,F
54,891,ALICE NAKASHIMA,ASSOCIAÇÃO JOINVILENSE DE TÊNIS DE MESA - SC,E,F
56,889,LANA OZEKI,ITAIM KEIKO / JJYAMADA - SP,E,F
57,885,MICHELE RAMOS,SR MAMPITUBA/FME CRICIÚMA-SC,E,F
57,885,EMANUELA KRUGER,ASSOÇIAÇÃO DE TÊNIS DE MESA JARAGUAENSE-SC,E,F
59,878,BRENDA AMARAL,APCEF MANAUS - AM,E,F
60,875,ANNA MARTINS,PING TABLE TENNIS AERO CLUBE-RN,E,F
61,874,TAINÁ DOS SANTOS,CLUBE DE TÊNIS DE MESA JACAREÍ - SP,E,F
62,869,ROSANGELA DALCIN,CENTRO INTEGRADO DOS PORTADORES DE DEF FÍSICA - RS,E,F
63,866,KATHIA OTSUKI,ASSOCIAÇÃO MARINGAENSE DE TÊNIS DE MESA-AMTM - PR,E,F
63,866,ROSMEIRE ALBERTONI,ASSOCIAÇÃO DOS DEFICIENTES FÍSICOS DE GOIÁS-ADFEGO-GO,E,F
65,864,GABRIELA CARVALHO,ASSOCIAÇÃO GOIANA DE TÊNIS DE MESA-AGTM-GO,E,F
66,863,FABIOLA KAJIHARA,ITAIM KEIKO / JJYAMADA - SP,E,F
67,862,HADRILENE SANTOS,AMERICANA - SP,E,F
